,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Year,Month,Day
0,2023-01-01,12.3,9.4,17.2,0.0,,288.0,15.1,,1011.3,,2023,1,01
1,2023-01-02,11.3,8.3,11.7,13.5,,62.0,16.9,,1011.0,,2023,1,02
2,2023-01-03,10.3,8.9,12.8,0.0,,28.0,10.8,,1014.7,,2023,1,03
3,2023-01-04,11.6,9.4,16.7,41.9,,114.0,29.5,,1006.8,,2023,1,04
4,2023-01-05,14.5,11.7,15.6,10.9,,186.0,24.5,,1012.1,,2023,1,05
5,2023-01-06,12.6,10.0,16.7,0.0,,129.0,12.6,,1022.4,,2023,1,06
6,2023-01-07,14.2,11.1,16.7,4.8,,119.0,29.2,,1014.3,,2023,1,07
7,2023-01-08,14.1,13.3,17.2,19.3,,179.0,18.4,,1014.3,,2023,1,08
8,2023-01-09,14.9,11.1,16.7,35.6,,176.0,15.8,,1007.1,,2023,1,09
9,2023-01-10,13.2,11.1,15.0,10.2,,193.0,33.1,,1009.3,,2023,1,10
10,2023-01-11,12.7,11.1,15.6,13.5,,122.0,20.9,,1017.9,,2023,1,11
11,2023-01-12,14.4,12.8,20.6,0.0,,77.0,13.0,,1018.7,,2023,1,12
12,2023-01-13,15.6,12.2,17.2,14.2,,134.0,20.9,,1015.1,,2023,1,13
13,2023-01-14,14.4,12.8,15.6,24.9,,214.0,25.9,,1005.9,,2023,1,14
14,2023-01-15,12.2,9.4,13.3,19.3,,168.0,16.9,,1004.8,,2023,1,15
15,2023-01-16,10.7,8.3,13.3,21.8,,279.0,29.9,,1005.2,,2023,1,16
16,2023-01-17,9.9,5.6,14.4,0.0,,278.0,7.6,,1016.2,,2023,1,17
17,2023-01-18,9.6,6.1,13.3,6.1,,98.0,9.7,,1020.9,,2023,1,18
18,2023-01-19,10.9,8.3,12.8,0.0,,311.0,11.9,,1023.1,,2023,1,19
19,2023-01-20,11.0,7.8,12.8,0.0,,32.0,18.7,,1026.0,,2023,1,20
20,2023-01-21,8.7,4.4,13.9,0.0,,313.0,6.8,,1028.7,,2023,1,21
21,2023-01-22,11.2,8.3,15.6,0.0,,354.0,19.1,,1022.7,,2023,1,22
22,2023-01-23,13.2,8.3,17.2,0.0,,5.0,15.1,,1021.3,,2023,1,23
23,2023-01-24,12.1,6.7,17.8,0.0,,5.0,11.2,,1027.0,,2023,1,24
24,2023-01-25,12.1,6.7,20.6,0.0,,25.0,6.5,,1027.5,,2023,1,25
25,2023-01-26,14.6,10.6,20.0,0.0,,95.0,12.2,,1029.0,,2023,1,26
26,2023-01-27,11.8,7.2,14.4,0.0,,326.0,13.0,,1022.2,,2023,1,27
27,2023-01-28,9.6,6.1,13.9,0.0,,300.0,13.0,,1016.0,,2023,1,28
28,2023-01-29,10.7,8.9,11.7,0.5,,338.0,27.0,,1011.4,,2023,1,29
29,2023-01-30,9.1,5.0,12.8,0.0,,61.0,12.2,,1018.4,,2023,1,30
30,2023-01-31,8.6,2.2,15.6,0.0,,306.0,8.3,,1022.0,,2023,1,31
31,2023-02-01,8.9,3.9,13.9,0.0,,357.0,4.0,,1022.7,,2023,2,01
32,2023-02-02,8.9,4.4,16.7,0.0,,126.0,7.2,,1023.5,,2023,2,02
33,2023-02-03,12.3,10.0,14.4,14.7,,58.0,7.9,,1023.1,,2023,2,03
34,2023-02-04,11.2,10.6,15.6,16.3,,122.0,17.6,,1018.7,,2023,2,04
35,2023-02-05,12.9,8.9,13.9,1.8,,289.0,23.4,,1023.6,,2023,2,05
36,2023-02-06,9.9,5.0,15.0,0.0,,306.0,9.4,,1028.6,,2023,2,06
37,2023-02-07,10.1,5.6,16.1,0.0,,8.0,5.8,,1027.5,,2023,2,07
38,2023-02-08,10.6,6.1,17.2,0.0,,333.0,7.2,,1027.3,,2023,2,08
39,2023-02-09,11.3,6.1,17.8,0.0,,350.0,7.2,,1025.1,,2023,2,09
40,2023-02-10,11.5,6.7,14.4,0.0,,284.0,19.4,,1021.8,,2023,2,10
41,2023-02-11,9.7,6.7,13.3,1.5,,306.0,11.9,,1014.8,,2023,2,11
42,2023-02-12,10.1,5.6,17.8,0.0,,321.0,10.1,,1014.6,,2023,2,12
43,2023-02-13,10.8,6.1,15.6,0.0,,288.0,29.2,,1013.0,,2023,2,13
44,2023-02-14,10.1,6.7,11.7,0.0,,308.0,29.5,,1017.9,,2023,2,14
45,2023-02-15,10.1,5.0,15.0,0.0,,334.0,15.1,,1024.0,,2023,2,15
46,2023-02-16,8.6,3.9,14.4,0.0,,31.0,5.0,,1023.5,,2023,2,16
47,2023-02-17,10.4,5.6,16.7,0.0,,46.0,7.9,,1019.7,,2023,2,17
48,2023-02-18,10.2,4.4,15.6,0.0,,6.0,6.5,,1018.3,,2023,2,18
49,2023-02-19,10.8,5.0,18.9,0.0,,343.0,8.6,,1018.8,,2023,2,19
50,2023-02-20,11.7,7.2,19.4,0.0,,313.0,9.4,,1019.7,,2023,2,20
51,2023-02-21,12.3,7.8,13.3,0.0,,289.0,47.5,,1010.7,,2023,2,21
52,2023-02-22,8.5,5.6,10.6,1.0,,288.0,32.0,,1009.3,,2023,2,22
53,2023-02-23,6.9,3.9,10.6,8.6,,188.0,23.0,,1009.5,,2023,2,23
54,2023-02-24,7.3,5.0,10.6,15.0,,283.0,17.6,,1005.9,,2023,2,24
55,2023-02-25,7.8,6.7,11.1,0.0,,357.0,11.2,,1012.3,,2023,2,25
56,2023-02-26,9.3,6.7,11.7,5.3,,218.0,18.0,,1016.2,,2023,2,26
57,2023-02-27,7.9,5.0,11.1,13.7,,218.0,20.2,,1014.3,,2023,2,27
58,2023-02-28,8.7,6.1,13.3,8.4,,231.0,19.1,,1011.7,,2023,2,28
59,2023-03-01,8.1,3.9,12.8,0.0,,313.0,23.8,,1013.4,,2023,3,01
60,2023-03-02,10.1,4.4,13.9,0.0,,296.0,16.9,,1020.5,,2023,3,02
61,2023-03-03,10.3,8.3,14.4,0.0,,295.0,17.6,,1017.7,,2023,3,03
62,2023-03-04,9.8,8.3,11.7,5.3,,217.0,18.4,,1012.0,,2023,3,04
63,2023-03-05,9.9,6.7,12.2,5.8,,241.0,20.5,,1015.2,,2023,3,05
64,2023-03-06,8.9,5.6,12.8,5.1,,177.0,13.7,,1020.8,,2023,3,06
65,2023-03-07,9.1,5.6,12.8,0.3,,224.0,10.1,,1021.8,,2023,3,07
66,2023-03-08,9.8,7.2,13.3,2.8,,281.0,12.2,,1020.8,,2023,3,08
67,2023-03-09,9.1,6.7,14.4,18.3,,159.0,22.3,,1013.0,,2023,3,09
68,2023-03-10,12.6,10.0,15.6,13.0,,289.0,16.9,,1010.1,,2023,3,10
69,2023-03-11,11.7,8.3,17.2,0.3,,215.0,9.0,,1014.9,,2023,3,11
70,2023-03-12,13.8,12.8,15.0,14.5,,179.0,20.9,,1017.5,,2023,3,12
71,2023-03-13,14.6,12.8,18.9,0.3,,173.0,17.3,,1017.4,,2023,3,13
72,2023-03-14,15.1,8.9,17.8,18.0,,189.0,34.6,,1007.2,,2023,3,14
73,2023-03-15,10.2,6.1,15.0,0.0,,309.0,15.5,,1015.6,,2023,3,15
74,2023-03-16,10.7,7.2,15.6,0.0,,289.0,13.7,,1017.8,,2023,3,16
75,2023-03-17,11.2,7.8,17.8,0.0,,321.0,11.9,,1018.3,,2023,3,17
76,2023-03-18,12.4,8.3,17.8,1.0,,14.0,6.1,,1015.2,,2023,3,18
77,2023-03-19,13.3,10.6,15.0,13.7,,274.0,14.8,,1009.7,,2023,3,19
78,2023-03-20,11.4,9.4,13.9,1.5,,283.0,12.6,,1012.1,,2023,3,20
79,2023-03-21,10.8,8.9,13.3,28.4,,121.0,31.7,,995.5,,2023,3,21
80,2023-03-22,10.5,9.4,14.4,5.6,,92.0,20.9,,1010.9,,2023,3,22
81,2023-03-23,11.8,9.4,13.9,0.8,,285.0,28.4,,1024.5,,2023,3,23
82,2023-03-24,10.7,7.8,13.9,0.0,,313.0,28.4,,1029.7,,2023,3,24
83,2023-03-25,9.9,5.6,14.4,0.0,,317.0,22.7,,1026.2,,2023,3,25
84,2023-03-26,10.0,6.1,14.4,0.0,,327.0,17.3,,1025.2,,2023,3,26
85,2023-03-27,9.7,4.4,16.7,0.0,,324.0,11.5,,1022.3,,2023,3,27
86,2023-03-28,11.5,8.3,12.8,16.0,,181.0,19.8,,1013.1,,2023,3,28
87,2023-03-29,10.2,8.9,11.7,17.0,,160.0,15.1,,1009.2,,2023,3,29
88,2023-03-30,10.4,7.2,14.4,0.0,,308.0,13.7,,1015.9,,2023,3,30
89,2023-03-31,10.7,6.7,15.0,0.0,,284.0,10.4,,1023.5,,2023,3,31
90,2023-04-01,11.2,6.1,16.7,0.0,,278.0,13.0,,1023.5,,2023,4,01
91,2023-04-02,12.5,9.4,14.4,0.0,,285.0,24.8,,1020.6,,2023,4,02
92,2023-04-03,10.4,7.8,12.8,0.0,,301.0,35.3,,1020.4,,2023,4,03
93,2023-04-04,9.5,5.6,14.4,0.0,,309.0,18.4,,1023.2,,2023,4,04
94,2023-04-05,10.5,7.2,15.0,0.0,,295.0,18.0,,1022.9,,2023,4,05
95,2023-04-06,11.2,8.3,16.1,0.0,,259.0,12.2,,1019.8,,2023,4,06
96,2023-04-07,13.2,11.1,16.1,1.5,,194.0,16.6,,1017.1,,2023,4,07
97,2023-04-08,12.7,10.0,18.9,0.0,,311.0,13.7,,1019.5,,2023,4,08
98,2023-04-09,13.6,9.4,21.7,0.0,,296.0,14.0,,1021.1,,2023,4,09
99,2023-04-10,15.1,11.1,20.0,0.0,,297.0,17.3,,1018.0,,2023,4,10
100,2023-04-11,14.2,10.0,16.7,0.0,,276.0,30.2,,1018.9,,2023,4,11
101,2023-04-12,11.6,8.9,15.0,0.0,,285.0,34.2,,1014.6,,2023,4,12
102,2023-04-13,11.8,8.3,16.7,0.0,,284.0,24.8,,1012.3,,2023,4,13
103,2023-04-14,11.4,9.4,15.0,0.0,,278.0,26.6,,1015.4,,2023,4,14
104,2023-04-15,11.7,9.4,15.0,0.0,,289.0,21.6,,1020.8,,2023,4,15
105,2023-04-16,11.8,9.4,15.6,0.0,,285.0,24.1,,1021.1,,2023,4,16
106,2023-04-17,12.3,10.0,15.0,1.0,,270.0,25.6,,1017.5,,2023,4,17
107,2023-04-18,12.1,8.3,15.0,0.0,,293.0,16.6,,1019.0,,2023,4,18
108,2023-04-19,11.9,8.3,16.1,0.0,,290.0,22.7,,1023.5,,2023,4,19
109,2023-04-20,12.8,8.3,18.9,0.0,,296.0,18.7,,1026.6,,2023,4,20
110,2023-04-21,14.7,10.6,22.2,0.0,,325.0,18.0,,1024.1,,2023,4,21
111,2023-04-22,14.9,10.6,20.6,0.0,,297.0,26.6,,1016.2,,2023,4,22
112,2023-04-23,13.7,10.6,16.1,0.0,,282.0,31.7,,1013.8,,2023,4,23
113,2023-04-24,12.7,10.0,16.7,0.0,,278.0,29.9,,1015.5,,2023,4,24
114,2023-04-25,13.5,8.9,25.0,0.0,,322.0,15.1,,1014.2,,2023,4,25
115,2023-04-26,14.7,10.0,25.0,0.0,,312.0,15.8,,1014.6,,2023,4,26
116,2023-04-27,15.6,10.0,28.3,0.0,,320.0,15.5,,1013.1,,2023,4,27
117,2023-04-28,15.3,10.6,19.4,0.0,,302.0,22.7,,1014.3,,2023,4,28
118,2023-04-29,13.1,10.6,16.7,0.0,,305.0,21.6,,1016.8,,2023,4,29
119,2023-04-30,12.9,10.6,16.1,0.0,,277.0,38.5,,1014.5,,2023,4,30
120,2023-05-01,12.8,11.1,15.0,0.3,,263.0,30.2,,1010.1,,2023,5,01
121,2023-05-02,11.8,10.0,14.4,12.2,,145.0,13.7,,1009.0,,2023,5,02
122,2023-05-03,12.6,10.6,15.6,5.1,,104.0,14.4,,1009.7,,2023,5,03
123,2023-05-04,12.3,10.6,15.6,0.3,,276.0,12.6,,1012.2,,2023,5,04
124,2023-05-05,13.3,11.7,16.1,0.0,,232.0,11.5,,1017.5,,2023,5,05
125,2023-05-06,13.8,11.7,17.2,0.5,,227.0,13.7,,1018.7,,2023,5,06
126,2023-05-07,13.8,10.0,18.3,0.0,,286.0,13.7,,1019.5,,2023,5,07
127,2023-05-08,13.9,11.1,18.3,0.0,,230.0,18.0,,1018.7,,2023,5,08
128,2023-05-09,14.4,11.7,18.3,0.0,,273.0,23.4,,1016.8,,2023,5,09
129,2023-05-10,13.9,12.2,16.7,0.0,,274.0,22.3,,1018.4,,2023,5,10
130,2023-05-11,14.2,12.2,17.2,0.0,,271.0,24.1,,1018.4,,2023,5,11
131,2023-05-12,14.2,11.7,20.6,0.0,,283.0,25.9,,1017.2,,2023,5,12
132,2023-05-13,15.2,11.7,27.8,0.0,,318.0,15.1,,1011.8,,2023,5,13
133,2023-05-14,16.7,11.7,22.2,0.0,,317.0,13.3,,1010.8,,2023,5,14
134,2023-05-15,16.9,12.8,20.0,0.0,,308.0,18.0,,1017.7,,2023,5,15
135,2023-05-16,15.5,12.2,22.2,0.0,,292.0,23.4,,1016.7,,2023,5,16
136,2023-05-17,14.3,11.7,17.8,0.0,,296.0,23.4,,1014.1,,2023,5,17
137,2023-05-18,14.2,12.2,17.8,0.0,,283.0,21.6,,1014.2,,2023,5,18
138,2023-05-19,14.7,12.8,17.8,0.0,,283.0,22.3,,1017.3,,2023,5,19
139,2023-05-20,14.1,12.2,17.2,0.0,,267.0,22.3,,1019.7,,2023,5,20
140,2023-05-21,14.8,12.2,20.0,0.0,,282.0,18.0,,1016.5,,2023,5,21
141,2023-05-22,15.1,11.1,21.7,0.0,,302.0,14.8,,1012.4,,2023,5,22
142,2023-05-23,14.8,12.2,19.4,0.0,,216.0,19.4,,1011.5,,2023,5,23
143,2023-05-24,14.6,12.2,18.9,0.0,,214.0,16.6,,1012.5,,2023,5,24
144,2023-05-25,14.5,12.2,18.3,0.0,,217.0,18.0,,1011.7,,2023,5,25
145,2023-05-26,14.9,12.8,18.9,0.0,,236.0,18.0,,1014.3,,2023,5,26
146,2023-05-27,15.1,12.2,20.0,0.0,,252.0,19.8,,1015.0,,2023,5,27
147,2023-05-28,13.9,12.8,16.1,0.0,,245.0,16.2,,1013.5,,2023,5,28
148,2023-05-29,15.0,12.8,20.0,0.0,,217.0,19.4,,1013.8,,2023,5,29
149,2023-05-30,15.9,13.3,19.4,0.0,,255.0,18.4,,1014.7,,2023,5,30
150,2023-05-31,14.6,12.2,18.3,0.0,,253.0,21.2,,1012.8,,2023,5,31
151,2023-06-01,14.9,12.2,20.0,0.0,,230.0,17.6,,1012.7,,2023,6,01
152,2023-06-02,14.8,11.1,20.0,0.0,,315.0,18.0,,1015.2,,2023,6,02
153,2023-06-03,15.2,11.1,21.7,0.0,,315.0,16.6,,1013.1,,2023,6,03
154,2023-06-04,15.6,11.7,20.6,0.0,,306.0,20.9,,1010.3,,2023,6,04
155,2023-06-05,15.4,12.2,21.1,0.0,,224.0,15.5,,1009.3,,2023,6,05
156,2023-06-06,16.9,15.6,20.6,0.3,,206.0,23.0,,1010.4,,2023,6,06
157,2023-06-07,17.1,14.4,21.1,0.0,,227.0,18.7,,1014.2,,2023,6,07
158,2023-06-08,17.4,13.9,21.1,0.0,,283.0,18.7,,1016.7,,2023,6,08
159,2023-06-09,16.3,13.3,18.9,0.0,,266.0,19.4,,1016.5,,2023,6,09
160,2023-06-10,14.8,12.8,21.1,0.0,,280.0,17.6,,1013.0,,2023,6,10
161,2023-06-11,15.6,12.8,21.1,0.0,,231.0,13.3,,1011.3,,2023,6,11
162,2023-06-12,16.4,13.9,21.1,0.0,,209.0,15.8,,1015.5,,2023,6,12
163,2023-06-13,16.9,13.9,21.1,0.0,,255.0,16.2,,1016.4,,2023,6,13
164,2023-06-14,16.4,13.9,21.7,0.0,,287.0,15.5,,1012.7,,2023,6,14
165,2023-06-15,16.8,13.3,23.9,0.0,,273.0,16.2,,1011.9,,2023,6,15
166,2023-06-16,17.4,13.9,22.8,0.0,,320.0,16.9,,1014.5,,2023,6,16
167,2023-06-17,17.2,14.4,22.2,0.0,,298.0,18.4,,1014.6,,2023,6,17
168,2023-06-18,16.7,13.9,20.6,0.0,,268.0,32.0,,1012.2,,2023,6,18
169,2023-06-19,15.6,12.8,18.9,0.0,,278.0,39.6,,1016.1,,2023,6,19
170,2023-06-20,15.4,11.7,20.6,0.0,,277.0,25.6,,1019.5,,2023,6,20
171,2023-06-21,14.9,11.7,20.0,0.0,,284.0,21.6,,1016.8,,2023,6,21
172,2023-06-22,15.0,12.2,20.6,0.0,,226.0,16.2,,1014.3,,2023,6,22
173,2023-06-23,16.2,14.4,20.0,0.0,,244.0,18.7,,1017.4,,2023,6,23
174,2023-06-24,15.8,13.9,19.4,0.0,,270.0,22.3,,1018.1,,2023,6,24
175,2023-06-25,15.4,12.8,18.3,0.0,,264.0,20.9,,1018.9,,2023,6,25
176,2023-06-26,14.7,12.8,18.3,0.0,,259.0,22.7,,1016.2,,2023,6,26
177,2023-06-27,14.1,12.2,18.3,0.0,,258.0,21.6,,1013.5,,2023,6,27
178,2023-06-28,14.0,12.2,18.3,0.0,,270.0,21.6,,1013.7,,2023,6,28
179,2023-06-29,15.4,12.2,21.7,0.0,,306.0,18.7,,1013.3,,2023,6,29
180,2023-06-30,15.7,12.2,21.7,0.0,,305.0,21.6,,1012.2,,2023,6,30
181,2023-07-01,16.8,12.2,27.2,0.0,,311.0,15.5,,1011.6,,2023,7,01
182,2023-07-02,21.3,15.6,27.2,0.0,,300.0,18.7,,1011.1,,2023,7,02
183,2023-07-03,18.9,14.4,22.8,0.0,,317.0,16.6,,1012.1,,2023,7,03
184,2023-07-04,16.9,13.3,21.7,0.0,,295.0,17.3,,1013.1,,2023,7,04
185,2023-07-05,16.8,13.3,22.8,0.0,,265.0,14.4,,1013.9,,2023,7,05
186,2023-07-06,16.7,14.4,20.0,0.0,,260.0,21.2,,1013.6,,2023,7,06
187,2023-07-07,14.8,12.8,17.2,0.0,,262.0,26.3,,1013.0,,2023,7,07
188,2023-07-08,15.2,12.8,18.9,0.0,,268.0,35.3,,1013.9,,2023,7,08
189,2023-07-09,14.3,12.8,17.8,0.0,,270.0,23.0,,1015.4,,2023,7,09
190,2023-07-10,15.1,12.2,18.9,0.0,,288.0,24.5,,1015.2,,2023,7,10
191,2023-07-11,15.7,12.2,21.7,0.0,,304.0,21.6,,1014.6,,2023,7,11
192,2023-07-12,15.2,12.8,18.9,0.0,,300.0,22.3,,1016.0,,2023,7,12
193,2023-07-13,15.8,12.2,22.8,0.0,,306.0,23.8,,1015.7,,2023,7,13
194,2023-07-14,16.8,12.8,24.4,0.0,,319.0,22.0,,1014.2,,2023,7,14
195,2023-07-15,16.6,13.3,26.1,0.0,,317.0,20.5,,1011.9,,2023,7,15
196,2023-07-16,17.6,13.9,23.9,0.0,,302.0,20.2,,1010.5,,2023,7,16
197,2023-07-17,18.5,15.6,23.9,0.0,,310.0,18.0,,1011.2,,2023,7,17
198,2023-07-18,17.4,13.9,21.1,0.0,,301.0,23.8,,1013.5,,2023,7,18
199,2023-07-19,16.2,13.9,21.1,0.0,,300.0,19.1,,1015.9,,2023,7,19
200,2023-07-20,16.5,12.8,22.8,0.0,,305.0,20.2,,1016.0,,2023,7,20
201,2023-07-21,16.8,13.3,22.8,0.0,,303.0,24.1,,1013.3,,2023,7,21
202,2023-07-22,17.6,12.8,26.1,0.0,,311.0,21.6,,1010.6,,2023,7,22
203,2023-07-23,17.9,15.6,21.1,0.0,,300.0,21.6,,1011.9,,2023,7,23
204,2023-07-24,17.1,13.3,21.1,0.0,,293.0,22.7,,1017.2,,2023,7,24
205,2023-07-25,17.4,13.9,24.4,0.0,,302.0,24.8,,1016.5,,2023,7,25
206,2023-07-26,17.6,14.4,21.1,0.0,,297.0,24.1,,1015.0,,2023,7,26
207,2023-07-27,16.7,13.9,20.6,0.0,,285.0,21.6,,1015.7,,2023,7,27
208,2023-07-28,16.7,13.3,22.2,0.0,,296.0,22.3,,1016.2,,2023,7,28
209,2023-07-29,17.1,13.3,21.7,0.0,,294.0,24.5,,1017.3,,2023,7,29
210,2023-07-30,16.8,13.3,23.3,0.0,,293.0,21.6,,1016.0,,2023,7,30
211,2023-07-31,17.3,13.9,21.1,0.0,,299.0,20.9,,1015.2,,2023,7,31
212,2023-08-01,17.2,14.4,22.2,0.0,,268.0,20.2,,1016.3,,2023,8,01
213,2023-08-02,16.8,14.4,19.4,0.0,,265.0,21.6,,1017.4,,2023,8,02
214,2023-08-03,16.4,14.4,19.4,0.0,,272.0,23.8,,1018.5,,2023,8,03
215,2023-08-04,16.9,14.4,21.7,0.0,,292.0,20.9,,1016.5,,2023,8,04
216,2023-08-05,17.3,13.9,23.9,0.0,,306.0,20.9,,1015.2,,2023,8,05
217,2023-08-06,18.2,13.9,25.0,0.0,,312.0,19.1,,1014.9,,2023,8,06
218,2023-08-07,19.7,15.0,26.7,0.0,,307.0,18.7,,1013.8,,2023,8,07
219,2023-08-08,17.7,13.9,23.9,0.0,,278.0,13.7,,1014.3,,2023,8,08
220,2023-08-09,18.4,14.4,23.9,0.0,,309.0,16.9,,1013.1,,2023,8,09
221,2023-08-10,18.5,15.0,27.2,0.0,,305.0,12.2,,1013.4,,2023,8,10
222,2023-08-11,19.6,16.7,25.6,0.0,,282.0,16.2,,1015.1,,2023,8,11
223,2023-08-12,18.8,15.0,23.9,0.0,,309.0,17.3,,1015.3,,2023,8,12
224,2023-08-13,18.3,14.4,25.6,0.0,,301.0,18.4,,1013.8,,2023,8,13
225,2023-08-14,19.0,15.6,23.3,0.0,,310.0,18.4,,1012.9,,2023,8,14
226,2023-08-15,19.2,15.0,26.7,0.0,,306.0,20.2,,1014.3,,2023,8,15
227,2023-08-16,19.0,15.6,25.0,0.0,,310.0,20.9,,1013.0,,2023,8,16
228,2023-08-17,19.1,15.6,23.9,0.0,,299.0,21.6,,1010.6,,2023,8,17
229,2023-08-18,20.1,17.2,26.7,0.0,,287.0,14.8,,1010.4,,2023,8,18
230,2023-08-19,19.7,16.7,25.0,0.0,,317.0,16.9,,1009.3,,2023,8,19
231,2023-08-20,20.1,16.1,31.7,0.0,,316.0,15.1,,1006.1,,2023,8,20
232,2023-08-21,21.3,17.2,23.9,0.8,,202.0,19.8,,1011.6,,2023,8,21
233,2023-08-22,21.6,17.8,25.6,0.0,,302.0,17.3,,1015.1,,2023,8,22
234,2023-08-23,21.3,17.2,31.7,0.0,,316.0,14.8,,1012.4,,2023,8,23
235,2023-08-24,23.4,17.8,27.8,0.0,,295.0,15.5,,1012.2,,2023,8,24
236,2023-08-25,19.8,16.1,22.2,0.0,,283.0,21.2,,1015.0,,2023,8,25
237,2023-08-26,17.5,15.0,20.6,0.0,,286.0,23.8,,1015.9,,2023,8,26
238,2023-08-27,17.3,14.4,21.1,0.0,,295.0,21.6,,1016.4,,2023,8,27
239,2023-08-28,18.2,15.0,23.3,0.0,,292.0,27.7,,1015.1,,2023,8,28
240,2023-08-29,18.6,14.4,24.4,0.0,,287.0,23.8,,1014.8,,2023,8,29
241,2023-08-30,21.0,16.1,32.8,0.0,,305.0,14.8,,1010.7,,2023,8,30
242,2023-08-31,19.9,15.0,24.4,0.0,,276.0,19.1,,1007.4,,2023,8,31
243,2023-09-01,18.5,15.6,21.7,0.0,,249.0,16.6,,1009.8,,2023,9,01
244,2023-09-02,19.3,17.2,23.3,0.0,,283.0,10.1,,1014.8,,2023,9,02
245,2023-09-03,19.5,16.1,23.9,0.0,,286.0,17.3,,1017.1,,2023,9,03
246,2023-09-04,18.3,15.0,21.1,0.0,,294.0,20.9,,1014.8,,2023,9,04
247,2023-09-05,18.1,14.4,23.9,0.0,,304.0,16.9,,1011.8,,2023,9,05
