,time,year,month,precip,precipi,temp,tempi,noon,day,index,week_counter,avg_precip,avg_temp,avg_tempi,avg_precipi,angles
273,2023-10-01,2023,10,0.0,0.0,17.3,0.7056,0.5299,0.4896,0,0,5.0,18.7,0.7317,0.3321,0.0
280,2023-10-08,2023,10,0.0,0.0,12.3,0.5597,0.5278,0.4771,7,0,2.2285714285714286,11.62857142857143,0.5044,0.148,6.9231
287,2023-10-15,2023,10,0.0,0.0,11.5,0.5364,0.5271,0.4632,14,0,4.142857142857143,13.014285714285714,0.5489,0.2751,13.8462
294,2023-10-22,2023,10,0.0,0.0,11.6,0.5394,0.5257,0.4507,21,0,0.0,14.642857142857142,0.6013,0.0,20.7692
301,2023-10-29,2023,10,19.1,0.5841,11.0,0.5219,0.525,0.4382,28,0,4.514285714285714,7.557142857142857,0.3734,0.2998,27.6923
308,2023-11-05,2023,11,0.8,0.0244,10.1,0.4956,0.4833,0.4271,35,0,1.0714285714285714,7.885714285714285,0.384,0.0712,34.6154
315,2023-11-12,2023,11,0.0,0.0,1.3,0.239,0.484,0.4153,42,0,0.41428571428571426,5.742857142857143,0.3151,0.0275,41.5385
322,2023-11-19,2023,11,0.0,0.0,5.5,0.3615,0.4847,0.4062,49,0,3.742857142857143,4.5285714285714285,0.2761,0.2486,48.4615
329,2023-11-26,2023,11,11.1,0.3394,3.6,0.3061,0.4861,0.3972,56,0,3.7857142857142856,4.142857142857143,0.2637,0.2514,55.3846
336,2023-12-03,2023,12,12.8,0.3915,7.9,0.4315,0.4875,0.3903,63,0,1.8285714285714287,4.257142857142857,0.2673,0.1214,62.3077
343,2023-12-10,2023,12,17.0,0.5198,11.8,0.5452,0.4896,0.3861,70,0,4.328571428571428,4.728571428571429,0.2825,0.2875,69.2308
350,2023-12-17,2023,12,13.3,0.4068,9.3,0.4723,0.4924,0.3826,77,0,14.37142857142857,3.5571428571428574,0.2448,0.9545,76.1538
357,2023-12-24,2023,12,0.0,0.0,4.5,0.3324,0.4944,0.3826,84,0,6.742857142857143,6.985714285714286,0.3551,0.4478,83.0769
364,2023-12-31,2023,12,0.0,0.0,3.8,0.3119,0.4965,0.3847,91,0,0.7571428571428571,0.7857142857142857,0.1557,0.0503,90.0
371,2024-01-07,2024,1,6.9,0.2111,1.6,0.2478,0.4993,0.3896,98,0,15.057142857142855,4.742857142857143,0.283,1.0,96.9231
378,2024-01-14,2024,1,0.1,0.0031,0.7,0.2215,0.5007,0.3951,105,0,1.3,-4.057142857142857,0.0,0.0863,103.8462
385,2024-01-21,2024,1,0.0,0.0,-6.9,0.0,0.5028,0.4035,112,0,3.8428571428571425,2.414285714285714,0.2081,0.2552,110.7692
392,2024-01-28,2024,1,32.7,1.0,3.4,0.3003,0.5042,0.4132,119,0,5.171428571428572,2.6714285714285713,0.2164,0.3435,117.6923
399,2024-02-04,2024,2,0.0,0.0,2.4,0.2711,0.5049,0.4243,126,0,0.2285714285714286,3.2142857142857144,0.2338,0.0152,124.6154
406,2024-02-11,2024,2,0.0,0.0,6.0,0.376,0.5049,0.4354,133,0,2.8285714285714287,1.0285714285714287,0.1635,0.1879,131.5385
413,2024-02-18,2024,2,0.0,0.0,-2.2,0.137,0.5049,0.4479,140,0,1.0571428571428572,0.042857142857142774,0.1318,0.0702,138.4615
420,2024-02-25,2024,2,0.0,0.0,-1.8,0.1487,0.5042,0.4611,147,0,6.285714285714286,4.6571428571428575,0.2802,0.4175,145.3846
427,2024-03-03,2024,3,0.2,0.0062,11.6,0.5394,0.5035,0.4743,154,0,10.442857142857141,8.542857142857143,0.4051,0.6935,152.3077
434,2024-03-10,2024,3,17.0,0.5198,6.5,0.3907,0.5438,0.4882,161,0,2.4285714285714284,9.342857142857143,0.4309,0.1613,159.2308
441,2024-03-17,2024,3,0.2,0.0062,10.7,0.5131,0.5424,0.5014,168,0,8.742857142857142,4.6000000000000005,0.2784,0.5806,166.1538
448,2024-03-24,2024,3,0.0,0.0,2.0,0.2595,0.541,0.5146,175,0,3.6,6.685714285714285,0.3454,0.2391,173.0769
455,2024-03-31,2024,3,0.0,0.0,10.6,0.5102,0.5396,0.5285,182,0,7.7,6.857142857142857,0.3509,0.5114,180.0
462,2024-04-07,2024,4,0.0,0.0,7.8,0.4286,0.5382,0.5424,189,0,7.028571428571429,12.471428571428572,0.5315,0.4668,186.9231
469,2024-04-14,2024,4,0.3,0.0091,12.9,0.5773,0.5368,0.5549,196,0,2.757142857142857,12.014285714285714,0.5168,0.1831,193.8462
476,2024-04-21,2024,4,0.0,0.0,7.2,0.411,0.5354,0.5674,203,0,0.15714285714285717,9.357142857142858,0.4313,0.0104,200.7692
483,2024-04-28,2024,4,1.4,0.0428,16.0,0.6676,0.5347,0.5792,210,0,0.8428571428571427,16.04285714285714,0.6463,0.056,207.6923
490,2024-05-05,2024,5,16.6,0.5076,10.2,0.4986,0.534,0.591,217,0,5.085714285714286,15.171428571428573,0.6183,0.3378,214.6154
497,2024-05-12,2024,5,0.4,0.0122,10.6,0.5102,0.534,0.6014,224,0,3.7285714285714286,15.885714285714286,0.6412,0.2476,221.5385
504,2024-05-19,2024,5,0.0,0.0,18.7,0.7464,0.534,0.6111,231,0,2.0285714285714285,20.928571428571427,0.8034,0.1347,228.4615
511,2024-05-26,2024,5,0.0,0.0,23.0,0.8718,0.5347,0.6187,238,0,5.714285714285714,19.785714285714285,0.7667,0.3795,235.3846
518,2024-06-02,2024,6,0.0,0.0,21.1,0.8163,0.5354,0.6257,245,0,1.5571428571428572,21.842857142857145,0.8328,0.1034,242.3077
525,2024-06-09,2024,6,2.7,0.0824,18.3,0.7347,0.5361,0.6299,252,0,1.7571428571428573,19.571428571428573,0.7598,0.1167,249.2308
532,2024-06-16,2024,6,0.0,0.0,18.9,0.7522,0.5368,0.6319,259,0,5.1000000000000005,24.842857142857145,0.9293,0.3387,256.1538
539,2024-06-23,2024,6,6.4,0.1958,26.2,0.965,0.5382,0.6326,266,0,3.8285714285714287,23.728571428571428,0.8934,0.2543,263.0769
546,2024-06-30,2024,6,6.3,0.1926,25.2,0.9359,0.5389,0.6306,273,0,6.628571428571428,23.7,0.8925,0.4402,270.0
553,2024-07-07,2024,7,0.1,0.0031,27.4,1.0,0.5403,0.6264,280,0,1.5285714285714287,27.042857142857144,1.0,0.1015,276.9231
560,2024-07-14,2024,7,0.0,0.0,26.7,0.9797,0.541,0.6208,287,0,4.4,25.514285714285712,0.9508,0.2922,283.8462
567,2024-07-21,2024,7,1.3,0.0397,25.5,0.9447,0.541,0.6132,294,0,1.8285714285714285,23.542857142857144,0.8875,0.1214,290.7692
574,2024-07-28,2024,7,0.0,0.0,22.6,0.8601,0.541,0.6035,301,0,7.6571428571428575,25.17142857142857,0.9398,0.5085,297.6923
581,2024-08-04,2024,8,1.5,0.0459,24.8,0.9242,0.541,0.5931,308,0,10.728571428571428,23.585714285714285,0.8888,0.7125,304.6154
588,2024-08-11,2024,8,0.0,0.0,22.1,0.8455,0.5403,0.5819,315,0,0.18571428571428572,22.0,0.8379,0.0123,311.5385
595,2024-08-18,2024,8,11.1,0.3394,21.7,0.8338,0.5396,0.5701,322,0,2.542857142857143,19.685714285714287,0.7634,0.1689,318.4615
602,2024-08-25,2024,8,0.6,0.0184,21.8,0.8368,0.5382,0.5583,329,0,0.2285714285714286,22.414285714285715,0.8512,0.0152,325.3846
609,2024-09-01,2024,9,1.0,0.0306,23.6,0.8892,0.5368,0.5451,336,0,1.1,19.25714285714286,0.7497,0.0731,332.3077
616,2024-09-08,2024,9,0.0,0.0,14.4,0.621,0.5347,0.5326,343,0,0.09999999999999999,17.6,0.6964,0.0066,339.2308
623,2024-09-15,2024,9,0.0,0.0,19.6,0.7727,0.5333,0.5194,350,0,0.09999999999999999,19.557142857142857,0.7593,0.0066,346.1538
630,2024-09-22,2024,9,0.0,0.0,17.6,0.7143,0.5312,0.5056,357,0,1.8142857142857143,17.785714285714285,0.7023,0.1205,353.0769
