,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Year,Month,Day
0,2023-01-01,8.9,2.6,11.5,1.1,0.0,267.0,10.6,,1011.8,,2023,1,01
1,2023-01-02,4.2,-0.7,11.5,0.0,0.0,324.0,3.0,,1019.5,,2023,1,02
2,2023-01-03,8.8,6.0,13.7,12.7,0.0,343.0,5.1,,1014.5,,2023,1,03
3,2023-01-04,14.9,11.0,19.3,6.2,0.0,233.0,9.0,,1010.1,,2023,1,04
4,2023-01-05,8.4,6.0,9.3,0.6,0.0,56.0,8.2,,1014.0,,2023,1,05
5,2023-01-06,6.2,4.3,8.7,14.3,0.0,17.0,4.9,,1015.7,,2023,1,06
6,2023-01-07,3.1,-0.2,7.6,0.0,0.0,313.0,4.1,,1020.3,,2023,1,07
7,2023-01-08,-0.4,-2.9,3.7,0.0,0.0,341.0,4.2,,1024.4,,2023,1,08
8,2023-01-09,2.1,-1.8,6.5,0.0,0.0,324.0,4.8,,1013.9,,2023,1,09
9,2023-01-10,3.1,-1.3,6.0,0.0,0.0,335.0,6.7,,1016.4,,2023,1,10
10,2023-01-11,1.8,-0.2,4.3,0.0,0.0,50.0,8.4,,1023.8,,2023,1,11
11,2023-01-12,5.5,1.5,13.7,10.1,0.0,84.0,9.1,,1018.4,,2023,1,12
12,2023-01-13,10.0,2.6,14.3,4.5,0.0,225.0,17.3,,1002.2,,2023,1,13
13,2023-01-14,0.1,-1.8,1.5,0.0,0.0,353.0,22.0,,1010.2,,2023,1,14
14,2023-01-15,0.3,-1.8,3.7,0.0,0.0,344.0,18.6,,1016.0,,2023,1,15
15,2023-01-16,0.9,-2.9,5.4,0.0,0.0,324.0,13.7,,1011.6,,2023,1,16
16,2023-01-17,2.5,-1.8,6.0,0.2,0.0,276.0,6.0,,1005.7,,2023,1,17
17,2023-01-18,7.1,1.0,11.0,0.0,0.0,283.0,12.2,,1008.3,,2023,1,18
18,2023-01-19,2.9,-0.7,4.8,18.7,0.0,34.0,4.7,,1012.7,,2023,1,19
19,2023-01-20,5.7,4.3,8.2,1.7,0.0,275.0,10.8,,1004.8,,2023,1,20
20,2023-01-21,3.0,1.5,4.8,0.0,0.0,351.0,9.4,,1019.6,,2023,1,21
21,2023-01-22,3.0,1.5,5.4,6.8,0.0,134.0,7.1,,1018.9,,2023,1,22
22,2023-01-23,2.6,1.5,4.3,16.1,0.0,330.0,11.6,,1003.7,,2023,1,23
23,2023-01-24,3.4,1.5,6.0,0.0,0.0,279.0,14.6,,1019.0,,2023,1,24
24,2023-01-25,2.6,-1.3,8.7,23.9,0.0,73.0,10.1,,1020.1,,2023,1,25
25,2023-01-26,7.4,3.7,14.3,16.7,0.0,257.0,18.9,,1001.9,,2023,1,26
26,2023-01-27,1.7,-1.8,6.0,0.0,0.0,288.0,5.8,,1018.3,,2023,1,27
27,2023-01-28,5.3,-2.4,10.4,0.0,0.0,243.0,11.0,,1023.3,,2023,1,28
28,2023-01-29,5.5,-0.2,11.0,0.0,0.0,265.0,6.7,,1022.7,,2023,1,29
29,2023-01-30,5.9,-0.7,12.1,0.0,0.0,323.0,4.6,,1020.0,,2023,1,30
30,2023-01-31,1.2,-2.4,6.0,1.1,0.0,9.0,12.6,,1022.1,,2023,1,31
31,2023-02-01,-1.0,-5.2,2.1,0.2,0.0,346.0,7.4,,1024.1,,2023,2,01
32,2023-02-02,-1.0,-6.8,4.3,0.0,0.0,265.0,9.3,,1018.7,,2023,2,02
33,2023-02-03,-6.2,-15.7,1.0,0.0,0.0,292.0,23.4,,1015.2,,2023,2,03
34,2023-02-04,-12.7,-20.2,-5.7,0.0,0.0,294.0,8.8,,1033.2,,2023,2,04
